"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\For Study\Ancient-Chinese-mathematics\src\timeline\timelineData.js", "JavaScript", 0, 0, 156, 0, 0, 0, 141, 7, 304
"d:\For Study\Ancient-Chinese-mathematics\src\timeline\timelineData.json", "JSON", 0, 132, 0, 0, 0, 0, 0, 0, 132
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Abacus\Abacus.css", "CSS", 0, 0, 0, 0, 247, 0, 0, 51, 298
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Abacus\Abacus.html", "HTML", 0, 0, 0, 247, 0, 0, 2, 17, 266
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Abacus\Abacus.js", "JavaScript", 0, 0, 178, 0, 0, 0, 0, 36, 214
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Abacus\playGIF.js", "JavaScript", 0, 0, 9, 0, 0, 0, 4, 3, 16
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Caliper\Caliper.css", "CSS", 0, 0, 0, 0, 125, 0, 0, 23, 148
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Caliper\Caliper.html", "HTML", 0, 0, 0, 70, 0, 0, 1, 4, 75
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Caliper\Caliper.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Caliper\Caliper1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Compasses\Compasses.css", "CSS", 0, 0, 0, 0, 201, 0, 1, 31, 233
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Compasses\Compasses.html", "HTML", 0, 0, 0, 1638, 0, 0, 2, 8, 1648
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Compasses\Compasses.js", "JavaScript", 0, 0, 43, 0, 0, 0, 1, 7, 51
"Total", "-", 2, 3636, 4002, 3442, 2521, 584, 1183, 2746, 18116
